,Oligos,Neurons,Vascular,Astrocytes,Ependymal,Immune,Blood
163,0.1,0.1,0.1,0.5,0.1,0.1,
164,0.2,0.4,0.1,0.0,0.1,0.2,
165,0.2,0.7,0.0,0.0,0.0,0.1,
166,0.2,0.6,0.0,0.0,0.1,0.1,
167,0.2,0.6,0.0,0.0,0.1,0.1,
168,0.1,0.7,0.0,0.0,0.1,0.1,
169,0.2,0.6,0.0,0.0,0.1,0.1,
170,0.3,0.4,0.0,0.0,0.1,0.2,
171,0.4,0.4,0.0,0.0,0.0,0.2,
172,0.9,0.0,0.0,0.0,0.1,0.0,
173,0.6,0.0,0.0,0.0,0.4,0.0,
174,0.8,0.0,0.0,0.0,0.2,0.0,
175,0.3,0.4,0.0,0.0,0.1,0.2,
176,0.9,0.0,0.0,0.0,0.1,0.0,
177,0.9,0.0,0.0,0.0,0.1,0.0,
178,0.9,0.0,0.0,0.0,0.1,0.0,
179,0.9,0.0,0.0,0.0,0.1,0.0,
180,0.6,0.0,0.0,0.0,0.4,0.0,
181,0.7,0.0,0.0,0.0,0.3,0.0,
182,0.7,0.0,0.0,0.0,0.3,0.0,
183,0.5,0.0,0.0,0.0,0.5,0.0,
184,0.2,0.6,0.0,0.0,0.1,0.1,
185,0.2,0.3,0.1,0.0,0.2,0.2,
186,0.2,0.6,0.0,0.0,0.1,0.1,
187,0.4,0.4,0.0,0.0,0.0,0.2,
188,0.3,0.5,0.0,0.0,0.1,0.1,
189,0.3,0.6,0.0,0.0,0.0,0.1,
190,0.1,0.0,0.3,0.4,0.1,0.1,
191,0.2,0.0,0.2,0.4,0.1,0.1,
192,0.1,0.0,0.3,0.4,0.1,0.1,
193,0.8,0.0,0.0,0.0,0.2,0.0,
194,0.1,0.0,0.3,0.5,0.0,0.1,
195,0.2,0.4,0.1,0.0,0.1,0.2,
196,0.3,0.5,0.0,0.0,0.0,0.2,
197,0.4,0.4,0.0,0.0,0.1,0.1,
198,0.3,0.3,0.0,0.0,0.2,0.2,
199,0.1,0.8,0.0,0.0,0.0,0.1,
200,0.3,0.4,0.0,0.0,0.1,0.2,
201,0.3,0.3,0.0,0.0,0.2,0.2,
202,0.3,0.3,0.0,0.0,0.1,0.3,
203,0.4,0.4,0.0,0.0,0.1,0.1,
204,0.3,0.3,0.0,0.0,0.1,0.3,
205,0.3,0.4,0.0,0.0,0.1,0.2,
206,0.4,0.5,0.0,0.0,0.0,0.1,
207,0.2,0.3,0.1,0.0,0.2,0.2,
208,0.1,0.8,0.0,0.0,0.0,0.1,
209,1.0,0.0,0.0,0.0,0.0,0.0,
210,1.0,0.0,0.0,0.0,0.0,0.0,
211,0.8,0.0,0.0,0.0,0.2,0.0,
212,0.7,0.0,0.0,0.0,0.3,0.0,
213,0.2,0.0,0.3,0.3,0.1,0.1,
214,0.3,0.3,0.0,0.0,0.1,0.3,
215,0.8,0.0,0.0,0.0,0.2,0.0,
216,0.2,0.6,0.0,0.0,0.1,0.1,
217,0.3,0.3,0.1,0.0,0.1,0.2,
218,0.2,0.6,0.0,0.0,0.1,0.1,
219,0.1,0.7,0.0,0.0,0.1,0.1,
220,0.1,0.0,0.4,0.4,0.0,0.1,
221,0.7,0.0,0.0,0.0,0.3,0.0,
222,0.2,0.3,0.1,0.0,0.2,0.2,
223,0.7,0.0,0.0,0.0,0.3,0.0,
224,0.7,0.0,0.0,0.0,0.3,0.0,
225,0.7,0.0,0.0,0.0,0.3,0.0,
226,0.2,0.0,0.2,0.4,0.0,0.2,
227,0.1,0.0,0.3,0.4,0.1,0.1,
228,0.1,0.0,0.1,0.6,0.1,0.1,
229,0.1,0.0,0.3,0.5,0.0,0.1,
230,0.1,0.1,0.3,0.3,0.1,0.1,
231,0.2,0.0,0.3,0.3,0.1,0.1,
232,0.2,0.0,0.3,0.4,0.0,0.1,
233,0.2,0.0,0.2,0.4,0.0,0.2,
234,0.2,0.5,0.0,0.0,0.1,0.2,
235,0.3,0.4,0.0,0.0,0.1,0.2,
236,0.2,0.0,0.2,0.4,0.1,0.1,
237,0.2,0.5,0.1,0.0,0.1,0.1,
238,0.3,0.4,0.1,0.0,0.1,0.1,
239,0.2,0.0,0.3,0.4,0.0,0.1,
240,0.2,0.5,0.1,0.0,0.1,0.1,
241,1.0,0.0,0.0,0.0,0.0,0.0,
242,0.8,0.0,0.0,0.0,0.2,0.0,
243,0.2,0.3,0.1,0.0,0.2,0.2,
244,0.2,0.5,0.0,0.0,0.1,0.2,
245,0.3,0.3,0.0,0.0,0.2,0.2,
246,0.3,0.6,0.0,0.0,0.0,0.1,
247,0.2,0.6,0.0,0.0,0.0,0.2,
248,0.3,0.5,0.0,0.0,0.1,0.1,
249,0.2,0.6,0.0,0.0,0.1,0.1,
250,0.1,0.8,0.0,0.0,0.0,0.1,
251,0.2,0.5,0.0,0.0,0.1,0.2,
252,0.1,0.8,0.0,0.0,0.0,0.1,
253,0.2,0.5,0.1,0.0,0.1,0.1,
254,0.3,0.3,0.0,0.0,0.2,0.2,
255,0.1,0.8,0.0,0.0,0.0,0.1,
256,0.3,0.6,0.0,0.0,0.0,0.1,
257,0.2,0.7,0.0,0.0,0.0,0.1,
258,0.2,0.5,0.1,0.0,0.1,0.1,
259,0.3,0.3,0.1,0.0,0.1,0.2,
